"","Estimate","Std. Error","t value"
"(Intercept)",0.739102822580412,0.050015813175346,14.7773829046677
"time_min",-0.00247692652329765,0.000541073650655653,-4.57779919664577
"treatMW",-0.295234192379511,0.0714977450774819,-4.12927977042585
"treatMW2",-0.232997151817611,0.0732156535896016,-3.18234066615917
"treatSM",-0.166002134724804,0.0776738445913572,-2.13716902514795
"time_min:treatMW",-0.00299525673990929,0.000773466299689971,-3.87251098219778
"time_min:treatMW2",-0.00834981438812057,0.000792050722718069,-10.5420197831101
"time_min:treatSM",-0.00474939384355848,0.00084027966327699,-5.65215850284465
