"","term","contrast","null.value","estimate","std.error","statistic","adj.p.value"
"1","treat","MW - FM",0,0.824471787072243,0.126049629801744,6.54085052347243,2.9099378462405e-10
"2","treat","MW2 - FM",0,0.938442496564934,0.1516251263804,6.18922812443731,1.83993154045936e-09
"3","treat","SM - FM",0,0.559420467071259,0.152958562920156,3.6573334397975,0.00140606520161723
"4","treat","MW2 - MW",0,0.113970709492691,0.169327662110332,0.673077913391544,0.905703258002701
"5","treat","SM - MW",0,-0.265051320000984,0.152894425912942,-1.73355776980322,0.302248596531535
"6","treat","SM - MW2",0,-0.379022029493675,0.156453440509524,-2.42258673417029,0.0716813835882227
